Proteome ID	Organism	Organism ID	Protein count	BUSCO	CPD	Taxonomic lineage
UP000147559	Cumuto virus	1457166	3		Standard	Viruses, Riboviria, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Phenuiviridae, Goukovirus
UP000018967	Lachnospiraceae bacterium JC7 (Strain: JC7)	1165092	3167	C:92.1%[S:91.7%,D:0.4%],F:6.7%,M:1.2%,n:254	Standard	Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae
UP000204611	Hubei picorna-like virus 32 (Strain: QTM25882)	1923112	1		Close to Standard	Viruses, Riboviria, unclassified Riboviria
UP000203802	Wenzhou picorna-like virus 25 (Strain: WZFSL75477)	1923610	1		Close to Standard	Viruses, Riboviria, unclassified Riboviria
UP000202983	Okra yellow vein disease associated sequence	169693	1		Outlier	Viruses, Tolecusatellitidae, Betasatellite, unclassified Betasatellite
UP000103020	Trichechus manatus latirostris papillomavirus 2	1144379	7		Standard	Viruses, Papillomaviridae, Firstpapillomavirinae, Rhopapillomavirus
UP000240227	East African cassava mosaic virus-KE2	374778	8		Standard	Viruses, Geminiviridae, Begomovirus
UP000222009	Klebsiella phage vB_KpnP_KpV48	1912319	57		Standard	Viruses, Caudovirales, Podoviridae, Autographivirinae, Drulisvirus, unclassified Drulisvirus
UP000272959	Lentibacter virus vB_LenP_ICBM1	2301528	58		Standard	Viruses, Caudovirales, Podoviridae
UP000035018	Smithella sp. F21	1538640	1346	C:40.5%[S:40.2%,D:0.3%],F:6.4%,M:53%,n:296	Standard	Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, Smithella, unclassified Smithella
UP000277243	Gordonia phage Affeca	2483664	87		Standard	Viruses, Caudovirales, Siphoviridae, Vividuovirus, unclassified Vividuovirus
UP000295056	Arthrobacter phage Blair	2517928	26		Standard	Viruses, Caudovirales, Siphoviridae, Decurrovirus, unclassified Decurrovirus
UP000180254	Andreesenia angusta (Strain: DSM 1989)	39480	2379	C:98.7%[S:97.4%,D:1.3%],F:0.4%,M:0.9%,n:232	Standard	Bacteria, Firmicutes, Tissierellia, Tissierellales, Gottschalkiaceae, Andreesenia
UP000240962	Vibrio phage Thalassa	2570301	191		Standard	Viruses, Caudovirales, Siphoviridae, Cetovirus
UP000203673	Flavobacterium phage Fpv7	1814287	58		Standard	Viruses, Caudovirales, Siphoviridae
UP000204196	Salmonella phage SEN5	1647466	47		Standard	Viruses, Caudovirales, Myoviridae, Peduovirinae, Peduovirus, unclassified Peduovirus
UP000290161	Apis mellifera associated microvirus 59	2494790	4		Standard	Viruses, Microviridae, unclassified Microviridae
UP000316990	Caulobacter phage RW	2591034	97		Close to Standard	Viruses, Caudovirales, Podoviridae
UP000204486	Hubei picorna-like virus 64 (Strain: SSZZ3507)	1923147	2		Standard	Viruses, Riboviria, unclassified Riboviria
UP000318068	Pelagibacter phage HTVC109P	2283019	54		Standard	Viruses, Caudovirales, Podoviridae
UP000201731	Elm mottle virus	56486	4		Standard	Viruses, Riboviria, Bromoviridae, Ilarvirus
UP000265618	Kipferlia bialata	797122	3513	C:4.6%[S:4.3%,D:0.3%],F:6.3%,M:89.1%,n:303	Standard	Eukaryota, Metamonada, Carpediemonas-like organisms, Kipferlia
UP000243164	Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus)	9764	10855	C:19.9%[S:19.9%,D:0%],F:27.8%,M:52.3%,n:6253	Close to Standard	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Mammalia, Eutheria, Laurasiatheria, Artiodactyla, Whippomorpha, Cetacea, Mysticeti, Eschrichtiidae, Eschrichtius
UP000323586	Tortoise microvirus 89	2583197	5		Standard	Viruses, Microviridae, unclassified Microviridae
UP000008908	Muricauda ruestringensis (strain DSM 13258 / CIP 107369 / LMG 19739 / B1) (Strain: DSM 13258 / LMG 19739 / B1)	886377	3425	C:100%[S:100%,D:0%],F:0%,M:0%,n:443	Standard	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Muricauda
UP000325229	Capybara microvirus Cap3_SP_319	2585427	4		Standard	Viruses, Microviridae, unclassified Microviridae
UP000006174	Ustilago hordei (strain Uh4875-4) (Barley covered smut fungus) (Strain: Uh4875-4)	1128400	7111	C:99.8%[S:99.6%,D:0.1%],F:0.2%,M:0%,n:1335	Standard	Eukaryota, Fungi, Dikarya, Basidiomycota, Ustilaginomycotina, Ustilaginomycetes, Ustilaginales, Ustilaginaceae, Ustilago
UP000185766	Pseudomonas hussainii (Strain: JCM 19513)	1429083	3415	C:99.8%[S:99.3%,D:0.4%],F:0%,M:0.2%,n:452	Close to Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas
UP000267223	Ferruginibacter sp. BO-59 (Strain: BO-59)	2294116	4167	C:93.2%[S:93%,D:0.2%],F:3.8%,M:2.9%,n:443	Standard	Bacteria, Bacteroidetes, Chitinophagia, Chitinophagales, Chitinophagaceae, Ferruginibacter, unclassified Ferruginibacter
UP000173026	Raspberry latent virus	907191	12		Standard	Viruses, Riboviria, Reoviridae, unclassified Reoviridae
UP000008737	Pusillimonas sp. (strain T7-7) (Strain: T7-7)	1007105	3751	C:96.7%[S:96.6%,D:0.2%],F:2.4%,M:0.9%,n:582	Standard	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Pusillimonas, unclassified Pusillimonas
UP000016509	Clostridium sp. KLE 1755 (Strain: KLE 1755)	1226325	6954	C:98%[S:96.9%,D:1.2%],F:1.2%,M:0.8%,n:254	Outlier	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium
UP000204331	Lake Sarah-associated circular virus-21	1685748	2		Outlier	Viruses, unclassified viruses
UP000201619	Macrophomina phaseolina tobamo-like virus (Strain: IL-01 2013)	1527523	4		Standard	Viruses, Riboviria, Virgaviridae, unclassified Virgaviridae
UP000031651	Bacillus sp. (strain OxB-1) (Strain: OxB-1)	98228	3544	C:96.2%[S:96%,D:0.2%],F:1.1%,M:2.7%,n:526	Standard	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
UP000160920	Rodent Torque teno virus 2	1514665	2		Standard	Viruses, Anelloviridae, unclassified Anelloviridae
UP000008647	Cronobacter phage ESSI-2	947842	43		Standard	Viruses, Caudovirales, Myoviridae, Peduovirinae, Hpunavirus, unclassified Hpunavirus
UP000290185	Mycobacterium phage Beatrix	2500791	90		Standard	Viruses, Caudovirales, Siphoviridae, Fromanvirus, unclassified Fromanvirus
UP000190657	Eubacterium coprostanoligenes (Strain: ATCC 51222)	290054	1647	C:96.5%[S:96.1%,D:0.4%],F:2%,M:1.6%,n:254	Standard	Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Eubacterium
UP000296608	Streptococcus satellite phage Javan364	2558662	15		Close to Standard	Viruses, unclassified viruses, unclassified bacterial viruses
UP000032141	Brassica oleracea var. oleracea (Strain: TO1000)	109376	58535	C:95.1%[S:82.2%,D:12.9%],F:1.3%,M:3.6%,n:1440	Standard	Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliopsida, eudicotyledons, Gunneridae, Pentapetalae, rosids, malvids, Brassicales, Brassicaceae, Brassiceae, Brassica
UP000000716	Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b) (Strain: ATCC BAA-1283 / AT1b)	360911	3020	C:95.8%[S:95.2%,D:0.6%],F:1.5%,M:2.7%,n:526	Standard	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillales Family XII. Incertae Sedis, Exiguobacterium, unclassified Exiguobacterium
UP000077051	Mucor circinelloides f. lusitanicus CBS 277.49 (Strain: CBS 277.49)	747725	11586	C:93.1%[S:73.1%,D:20%],F:4.1%,M:2.8%,n:290	Standard	Eukaryota, Fungi, Fungi incertae sedis, Mucoromycota, Mucoromycotina, Mucoromycetes, Mucorales, Mucorineae, Mucoraceae, Mucor
UP000011180	Gloeocapsa sp. PCC 73106 (Strain: PCC 73106)	102232	4062	C:96.8%[S:96.4%,D:0.4%],F:1.4%,M:1.8%,n:834	Standard	Bacteria, Cyanobacteria, Oscillatoriophycideae, Chroococcales, Chroococcaceae, Gloeocapsa, unclassified Gloeocapsa
UP000001700	Riesia pediculicola (strain USDA) (Strain: USDA)	515618	540	C:42.5%[S:41%,D:1.5%],F:5.1%,M:52.4%,n:781	Close to Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Candidatus Riesia
UP000192042	Nitrospira japonica	1325564	4147	C:97.3%[S:96.6%,D:0.7%],F:2.7%,M:0%,n:148	Standard	Bacteria, Nitrospirae, Nitrospirales, Nitrospiraceae, Nitrospira
UP000058599	Sphingopyxis granuli (Strain: TFA)	267128	4159	C:95%[S:94.1%,D:0.9%],F:0.9%,M:4.1%,n:221	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingopyxis
UP000070186	Dechloromonas denitrificans (Strain: ATCC BAA-841)	281362	3886	C:98.3%[S:98.1%,D:0.2%],F:1%,M:0.7%,n:582	Standard	Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Azonexaceae, Dechloromonas
UP000030653	Dacryopinax primogenitus (strain DJM 731) (Brown rot fungus) (Strain: DJM-731 SS1)	1858805	10233	C:92.4%[S:91.6%,D:0.8%],F:3.1%,M:4.4%,n:1335	Standard	Eukaryota, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Dacrymycetes, Dacrymycetales, Dacrymycetaceae, Dacryopinax
UP000011555	Halobiforma lacisalsi AJ5 (Strain: AJ5)	358396	4151		Standard	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Halobiforma
UP000007798	Drosophila willistoni (Fruit fly) (Strain: Tucson 14030-0811.24)	7260	14819	C:98.9%[S:90%,D:8.9%],F:0.5%,M:0.6%,n:2799	Close to Standard	Eukaryota, Metazoa, Ecdysozoa, Arthropoda, Hexapoda, Insecta, Pterygota, Neoptera, Holometabola, Diptera, Brachycera, Muscomorpha, Ephydroidea, Drosophilidae, Drosophila, Sophophora
UP000234957	Coffee ringspot dichorhavirus (Strain: Lavras)	745716	6		Standard	Viruses, Riboviria, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Dichorhavirus
UP000296985	Penicillium janczewskii chrysovirus 2	1755793	4		Standard	Viruses, Riboviria, Chrysoviridae, Betachrysovirus
UP000308611	Pusillimonas ginsengisoli (Strain: SBSA)	453575	4096	C:94.5%[S:94.3%,D:0.2%],F:1.4%,M:4.1%,n:582	Standard	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Pusillimonas
UP000053330	Chlamydotis macqueenii (Macqueen's bustard)	187382	8277	C:63.7%[S:63.2%,D:0.5%],F:4.7%,M:31.6%,n:4915	Standard	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Gruiformes, Otididae, Chlamydotis
UP000094652	Clostridium taeniosporum (Strain: 1/k)	394958	2948	C:98.8%[S:98.4%,D:0.4%],F:0.4%,M:0.8%,n:254	Standard	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium
UP000204448	Lucheng Rn rat coronavirus	1508224	5		Standard	Viruses, Riboviria, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Alphacoronavirus, Luchacovirus
UP000204095	Paramecium bursaria Chlorella virus FR483 (PBCV-FR483) (Strain: FR483)	399781	848		Outlier	Viruses, Phycodnaviridae, Chlorovirus
UP000003824	Streptomyces viridosporus (strain ATCC 14672 / DSM 40746 / JCM 4963 / KCTC 9882 / NRRL B-12104 / FH 1290) (Streptomyces ghanaensis) (Strain: ATCC 14672 / DSM 40746 / JCM 4963 / KCTC 9882 / NRRL B-12104 / FH 1290)	566461	7865	C:98%[S:96.3%,D:1.7%],F:0.9%,M:1.1%,n:352	Standard	Bacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces
UP000180175	Anaerobacillus isosaccharinicus (Strain: NB2006)	1532552	4398	C:87.8%[S:85.7%,D:2.1%],F:1%,M:11.2%,n:526	Outlier	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Anaerobacillus
UP000289186	Salvia divinorum RNA virus 1	2419804	4		Standard	Viruses, Riboviria, Tymovirales, Betaflexiviridae, unclassified Betaflexiviridae
UP000203639	Hubei tombus-like virus 25 (Strain: WHBL69613)	1923272	3		Standard	Viruses, Riboviria, unclassified Riboviria
UP000202101	Grapevine Roditis leaf discoloration-associated virus	1471299	4		Standard	Viruses, Ortervirales, Caulimoviridae, Badnavirus
UP000222162	Lactococcus phage 49801	1868847	60		Standard	Viruses, Caudovirales, Siphoviridae
UP000296895	Streptococcus satellite phage Javan603	2558772	14		Close to Standard	Viruses, unclassified viruses, unclassified bacterial viruses
UP000275399	Muribaculaceae bacterium Isolate-037 (Harlan) (Strain: Isolate-037 (Harlan))	2486461	3984	C:93%[S:92.6%,D:0.5%],F:3.8%,M:3.2%,n:443	Outlier	Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae
UP000095713	Algibacter aquaticus (Strain: SK-16)	1849968	3717	C:99.8%[S:99.3%,D:0.5%],F:0%,M:0.2%,n:443	Standard	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Algibacter
UP000275159	Rhodovulum robiginosum (Strain: DSM 12329)	68292	3552	C:99.1%[S:97.7%,D:1.4%],F:0.5%,M:0.5%,n:221	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodovulum
UP000203768	Hemileuca sp. nucleopolyhedrovirus	1367203	137		Standard	Viruses, Baculoviridae, Alphabaculovirus, Hemileuca species nucleopolyhedrovirus
UP000290430	Stemphylium lycopersici mycovirus	2499625	4		Close to Standard	Viruses, Riboviria, unclassified Riboviria
UP000253792	Senegalimassilia anaerobia (Strain: anaerobia AP69FAA)	1473216	1843	C:58%[S:57.7%,D:0.3%],F:10.8%,M:31.2%,n:352	Standard	Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Coriobacteriaceae, Senegalimassilia
UP000305233	Arthrobacter echini (Strain: AM23)	1529066	2848	C:98.3%[S:98%,D:0.3%],F:0.6%,M:1.1%,n:352	Close to Standard	Bacteria, Actinobacteria, Micrococcales, Micrococcaceae, Arthrobacter
UP000006258	Sphingobacterium spiritivorum ATCC 33861 (Strain: ATCC 33861)	525373	4471	C:97.5%[S:97.3%,D:0.2%],F:1.6%,M:0.9%,n:443	Standard	Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Sphingobacterium
UP000204080	Rose leaf rosette-associated virus	1543207	13		Close to Standard	Viruses, Riboviria, Closteroviridae, Closterovirus
UP000164702	Heliothis armigera cypovirus 5	332585	10		Standard	Viruses, Riboviria, Reoviridae, Spinareovirinae, Cypovirus
UP000198560	Prevotella sp. KH2C16 (Strain: KH2C16)	1855325	2763	C:96.8%[S:96.8%,D:0%],F:2%,M:1.1%,n:443	Standard	Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, unclassified Prevotella
UP000004310	Fulvimarina pelagi HTCC2506 (Strain: HTCC2506)	314231	3739	C:94.6%[S:94.3%,D:0.3%],F:4.1%,M:1.3%,n:686	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Aurantimonadaceae, Fulvimarina
UP000272778	Paraburkholderia sp. DHOA04 (Strain: DHOA04)	2305225	5170	C:99.5%[S:98.8%,D:0.7%],F:0.2%,M:0.3%,n:582	Close to Standard	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Paraburkholderia
UP000270856	Flavobacteriaceae bacterium BH-SD17 (Strain: BH-SD17)	2487930	3096	C:99.3%[S:99.3%,D:0%],F:0.2%,M:0.5%,n:443	Standard	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae
UP000243106	Roseivivax halotolerans (Strain: JCM 10271)	93684	3742	C:99.5%[S:98.6%,D:0.9%],F:0%,M:0.5%,n:221	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Roseivivax
UP000239867	Desulfobulbus oralis (Strain: ORNL)	1986146	2278	C:89.2%[S:88.2%,D:1%],F:6.1%,M:4.7%,n:296	Standard	Bacteria, Proteobacteria, Deltaproteobacteria, Desulfobacterales, Desulfobulbaceae, Desulfobulbus
UP000266118	Arachidicoccus sp. KIS59-12 (Strain: KIS59-12)	2341117	3298	C:93.2%[S:92.8%,D:0.5%],F:2.9%,M:3.8%,n:443	Standard	Bacteria, Bacteroidetes, Chitinophagia, Chitinophagales, Chitinophagaceae, Arachidicoccus, unclassified Arachidicoccus
UP000032215	Bradyrhizobium elkanii (Strain: UASWS1015)	29448	6820	C:98.5%[S:97.4%,D:1.2%],F:0.9%,M:0.6%,n:686	Outlier	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium
UP000274024	Giant house spider associated circular virus 1	2293288	2		Standard	Viruses, Genomoviridae, unclassified Genomoviridae
UP000251309	Salmonella phage vB_SpuS_Sp4	2234083	67		Standard	Viruses, Caudovirales, Siphoviridae, Guernseyvirinae, Jerseyvirus, unclassified Jerseyvirus
UP000265767	Dioscorea bacilliform RT virus 2	2011125	3		Standard	Viruses, Ortervirales, Caulimoviridae, Badnavirus
UP000202547	Phasey bean mild yellows virus	1756832	5		Close to Standard	Viruses, Riboviria, Luteoviridae, Polerovirus
UP000009877	Kocuria palustris PEL (Strain: PEL)	1236550	2561	C:96.6%[S:96.6%,D:0%],F:1.4%,M:2%,n:352	Standard	Bacteria, Actinobacteria, Micrococcales, Micrococcaceae, Kocuria
UP000201906	Grapevine virus T	2016035	5		Standard	Viruses, Riboviria, Tymovirales, Betaflexiviridae, Quinvirinae, Foveavirus
UP000199017	Alteribacillus bidgolensis (Strain: P4B,CCM 7963,CECT 7998,DSM 25260,IBRC-M 10614,KCTC 13821)	930129	4578	C:97.9%[S:96.2%,D:1.7%],F:0.6%,M:1.5%,n:526	Standard	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Alteribacillus
UP000198881	Micrococcus terreus (Strain: CGMCC 1.7054)	574650	2759	C:96.9%[S:96.6%,D:0.3%],F:2.3%,M:0.9%,n:352	Standard	Bacteria, Actinobacteria, Micrococcales, Micrococcaceae, Micrococcus
UP000198670	Parapedobacter indicus (Strain: RK1)	1477437	5134	C:97.1%[S:96.2%,D:0.9%],F:2%,M:0.9%,n:443	Standard	Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Parapedobacter
UP000323879	Capybara microvirus Cap3_SP_391	2585442	5		Standard	Viruses, Microviridae, unclassified Microviridae
UP000324489	Capybara microvirus Cap1_SP_90	2584797	4		Standard	Viruses, Microviridae, unclassified Microviridae
UP000290847	Anthoxanthum odoratum amalgavirus 1 (Strain: AoAV1-UN29855)	2065797	2		Outlier	Viruses, Riboviria, Amalgaviridae, unclassified Amalgaviridae
UP000204182	Kaumoebavirus	1859492	427		Outlier	Viruses, unclassified viruses
UP000116078	Peaton virus	159151	4		Standard	Viruses, Riboviria, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Peribunyaviridae, Orthobunyavirus, Peaton orthobunyavirus
UP000258120	Gordonia phage GEazy	2250393	73		Standard	Viruses, Caudovirales, Siphoviridae, Bowservirus, unclassified Bowservirus
UP000202144	Porcine stool-associated circular virus 2	1328031	2		Standard	Viruses, Smacoviridae, Porprismacovirus
UP000286576	Erythrobacter zhengii (Strain: V18)	2307003	3511	C:94.6%[S:94.6%,D:0%],F:1.4%,M:4.1%,n:221	Close to Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Erythrobacteraceae, Erythrobacter
UP000018076	Clostridium sp. CAG:413 (Strain: MGS:413)	1262803	2197	C:90.6%[S:88.2%,D:2.4%],F:3.5%,M:5.9%,n:254	Standard	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, environmental samples
UP000051303	Noviherbaspirillum sp. Root189 (Strain: Root189)	1736487	5322	C:98.6%[S:98.1%,D:0.5%],F:0.7%,M:0.7%,n:582	Close to Standard	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Noviherbaspirillum, unclassified Noviherbaspirillum
UP000296902	Streptococcus phage Javan510	2548224	58		Standard	Viruses, Caudovirales, Siphoviridae
UP000018894	Halorubrum sp. AJ67 (Strain: AJ67)	1173487	3364		Standard	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halorubrum, unclassified Halorubrum
UP000244407	Paenibacillus sp. CAA11 (Strain: CAA11)	1532905	4316	C:97.7%[S:96.8%,D:1%],F:1.1%,M:1.1%,n:526	Close to Standard	Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus
UP000241842	Proteus phage PM135	2048008	102		Standard	Viruses, Caudovirales, Siphoviridae, Novosibvirus, Proteus virus PM135
UP000290190	Salmonella phage Seszw_1	2479482	72		Standard	Viruses, Caudovirales, Siphoviridae, Roufvirus, unclassified Roufvirus
UP000278787	Streptococcus phage CHPC1091	2365026	46		Standard	Viruses, Caudovirales, Siphoviridae, Moineauvirus, unclassified Moineauvirus
UP000221876	Streptococcus phage IPP30	1916170	54		Standard	Viruses, Caudovirales, Siphoviridae
UP000019701	Pectobacterium phage PM1	1399915	63		Close to Standard	Viruses, Caudovirales, Myoviridae
UP000201279	Ustilaginoidea virens RNA virus 3	1460374	2		Standard	Viruses, Riboviria, Totiviridae, Victorivirus, unclassified Victorivirus
UP000114278	Armadillidium vulgare iridescent virus	72201	203		Standard	Viruses, Iridoviridae, Betairidovirinae, Iridovirus
UP000269031	Mycobacterium phage Galactic	2301612	109		Standard	Viruses, Caudovirales, Siphoviridae, Cheoctovirus, unclassified Cheoctovirus
UP000142218	Human papillomavirus type 90	333769	7		Standard	Viruses, Papillomaviridae, Firstpapillomavirinae, Alphapapillomavirus
UP000297121	Enterococcus phage vB_EfaS_Ef2.2	2546635	101		Standard	Viruses, Caudovirales, Siphoviridae, Saphexavirus, unclassified Saphexavirus
UP000244724	Clostridioides phage LIBA6276	2069614	172		Outlier	Viruses, Caudovirales, Siphoviridae
UP000201211	Paenibacillus phage Xenia	1636263	77		Close to Standard	Viruses, Caudovirales, Siphoviridae, Sitaravirus, unclassified Sitaravirus
UP000203524	Hollyhock yellow vein mosaic Islamabad virus	1504732	6		Standard	Viruses, Geminiviridae, Begomovirus
UP000203246	Bat badicivirus 2	1958786	2		Outlier	Viruses, unclassified viruses
UP000319764	Bat mastadenovirus (Strain: Vs9)	740971	30		Close to Standard	Viruses, Adenoviridae, Mastadenovirus, unclassified Mastadenovirus
UP000290904	Mycobacterium phage Henu3	2492961	86		Standard	Viruses, Caudovirales, Siphoviridae, Timquatrovirus, unclassified Timquatrovirus
UP000140201	Mastomys coucha papillomavirus 2	392505	6		Close to Standard	Viruses, Papillomaviridae, Firstpapillomavirinae, Pipapillomavirus
UP000240834	Sophora alopecuroides yellow stunt alphasatellite 7a	1980168	1		Standard	Viruses, Alphasatellitidae, Nanoalphasatellitinae, unclassified Nanoalphasatellitinae
UP000224622	Lactococcus phage 936 group phage Phi43	1636568	54		Standard	Viruses, Caudovirales, Siphoviridae, Skunavirus, unclassified Skunavirus
UP000167269	Human papillomavirus 199	1545700	6		Standard	Viruses, Papillomaviridae, Firstpapillomavirinae, Gammapapillomavirus
UP000321328	Pseudonocardia asaccharolytica DSM 44247 = NBRC 16224 (Strain: NBRC 16224)	1123024	4883	C:98%[S:96.3%,D:1.7%],F:0.3%,M:1.7%,n:352	Standard	Bacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Pseudonocardia
UP000143043	Tofla virus	1615758	3		Standard	Viruses, Riboviria, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Nairoviridae, Orthonairovirus, unclassified Nairovirus
UP000051621	Lactobacillus capillatus DSM 19910 (Strain: DSM 19910)	1423731	2051	C:97.1%[S:96.2%,D:0.9%],F:1.4%,M:1.6%,n:443	Standard	Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus
UP000316206	Panteoa phage Phynn	2589666	266		Standard	Viruses, Caudovirales, Myoviridae, Tevenvirinae, unclassified Tevenvirinae
UP000266615	Nesterenkonia sp. M8 (Strain: M8)	2174932	2262	C:94.9%[S:94.9%,D:0%],F:2.6%,M:2.6%,n:352	Close to Standard	Bacteria, Actinobacteria, Micrococcales, Micrococcaceae, Nesterenkonia, unclassified Nesterenkonia
UP000030048	Ralstonia phage RS611	1497850	11		Standard	Viruses, Inoviridae, unclassified Inoviridae
UP000317107	Pseudomonas phage UMP151	2580353	56		Standard	Viruses, Caudovirales, Siphoviridae
UP000140422	Bovine adenovirus B serotype 3 (BAdV-3) (Mastadenovirus bos3)	10510	28		Standard	Viruses, Adenoviridae, Mastadenovirus, Bovine mastadenovirus B
UP000201780	Hibiscus latent Fort Pierce virus	233051	4		Standard	Viruses, Riboviria, Virgaviridae, Tobamovirus
UP000298752	Brevibacterium sp. CS2 (Strain: CS2)	2575923	2708	C:96.3%[S:96%,D:0.3%],F:1.1%,M:2.6%,n:352	Standard	Bacteria, Actinobacteria, Micrococcales, Brevibacteriaceae, Brevibacterium
UP000279799	Actinobacillus delphinicola (Strain: NCTC12871)	51161	1624	C:89.6%[S:89.6%,D:0%],F:1.1%,M:9.3%,n:452	Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Actinobacillus
UP000037969	Thermoactinomyces vulgaris (Strain: NRRL F-5595)	2026	3820	C:89.2%[S:88.4%,D:0.8%],F:3.4%,M:7.4%,n:526	Outlier	Bacteria, Firmicutes, Bacilli, Bacillales, Thermoactinomycetaceae, Thermoactinomyces
UP000195076	Nostoc sp. T09	1932621	6607	C:99.4%[S:98%,D:1.4%],F:0.1%,M:0.5%,n:834	Standard	Bacteria, Cyanobacteria, Nostocales, Nostocaceae, Nostoc
UP000207658	Staphylococcus phage 3MRA	1505026	66		Standard	Viruses, Caudovirales, Siphoviridae, Phietavirus, unclassified Phietavirus
UP000288178	Rubrivivax albus (Strain: ICH-3)	2499835	4847	C:97.9%[S:97.3%,D:0.7%],F:0.9%,M:1.2%,n:582	Standard	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Rubrivivax
UP000296660	Streptococcus phage Javan522	2548235	60		Standard	Viruses, Caudovirales, Siphoviridae
UP000290996	Apis mellifera associated microvirus 8	2494795	6		Standard	Viruses, Microviridae, unclassified Microviridae
UP000053279	Nanobsidianus stetteri	1294122	647		Close to Standard	Archaea, Nanoarchaeota, Nanoarchaeales, Nanopusillaceae, Candidatus Nanobsidianus
UP000240601	Gordonia phage Flapper	2079415	96		Standard	Viruses, Caudovirales, Siphoviridae
UP000203761	Beihai hermit crab virus 1 (Strain: BHWZXX15637)	1922388	2		Standard	Viruses, Riboviria, unclassified Riboviria
UP000224291	Stenotrophomonas phage IME-SM1	1654717	202		Standard	Viruses, Caudovirales, Ackermannviridae, unclassified Ackermannviridae
